S/N,Indoor Unit ID,Outdoor Unit ID,Room,Brand,Type,Cooling Capacity ,Refrigerant Type 
GROUND FLOOR,,,,,,,
1,FCU-G-01,CU-G-01,M&E Control Room,SUMMIT,Wall-Mounted,2,R-32a
2,FCU-G-02,​CU-G-02,Playground,DAIKIN,Ceiling Cassette,3,R-22a
3,FCU-G-03,CU-G-03,Playground,DAIKIN,Ceiling Cassette,3,R-22a
4,FCU-G-04,CU-G-04,Playground,DAIKIN,Ceiling Cassette,3,R-22a
5,FCU-G-05,CU-G-05,Walkway,CHIGO,Ceiling Cassette,2,R-22a
6,FCU-G-06,CU-G-06,Playground,DAIKIN,Ceiling Cassette,2,R-22a
7,FCU-G-07,CU-G-07,Playground,DAIKIN,Ceiling Cassette,3,R-22a
8,FCU-G-08,CU-G-08,Classroom-3,SUMMIT,Wall-Mounted,2,R-32a
9,FCU-G-09,CU-G-09,Classroom-3,SUMMIT,Wall-Mounted,2,R-32a
10,FCU-G-10,CU-G-10,Classroom-3,SUMMIT,Wall-Mounted,2,R-32a
11,FCU-G-11,CU-G-11,Walkway,CHIGO,Ceiling Cassette,2,R-22a
12,FCU-G-12,CU-G-12,Classroom-2,SUMMIT,Wall-Mounted,2,R-32a
13,FCU-G-13,CU-G-13,Classroom-2,SUMMIT,Wall-Mounted,2,R-32a
14,FCU-G-14,CU-G-14,Classroom-2,SUMMIT,Wall-Mounted,2,R-32a
15,FCU-G-15,CU-G-15,Classroom-1,SUMMIT,Wall-Mounted,2,R-32a
16,FCU-G-16,CU-G-16,Classroom-1,SUMMIT,Wall-Mounted,2,R-32a
17,FCU-G-17,CU-G-17,Classroom-1,SUMMIT,Wall-Mounted,2,R-32a
18,FCU-G-18,CU-G-18,Merchandising,HISENSE,Ceiling Cassette,3,R-22a
19,FCU-G-19,CU-G-19,Merchandising,HISENSE,Ceiling Cassette,3,R-22a
20,FCU-G-20,CU-G-20,Merchandising,HISENSE,Ceiling Cassette,3,R-22a
21,FCU-G-21,CU-G-21,Merchandising,HISENSE,Ceiling Cassette,3,R-22a
22,FCU-G-22,CU-G-22,Office,SUMMIT,Wall-Mounted,2,R-32a
23,FCU-G-23,CU-G-23,Finance,DAIKIN,Wall-Mounted,1.5,R-410a
24,FCU-G-24,CU-G-24,Reception Room,SUMMIT,Wall-Mounted,2,R-32a
25,FCU-G-25,CU-G-25,Reception Room,SUMMIT,Wall-Mounted,2,R-32a
26,FCU-G-26,CU-G-26,Nursery Room,SUMMIT,Wall-Mounted,2,R-32a
27,FCU-G-27,CU-G-27,Nursery Room,SUMMIT,Wall-Mounted,2,R-32a
28,FCU-G-28,CU-G-28,Reading Room,SUMMIT,Wall-Mounted,2,R-32a
29,FCU-G-29,CU-G-29,Reading Room,SUMMIT,Wall-Mounted,2,R-32a
30,FCU-G-30,CU-G-30,Waiting Lounge,DAIKIN,Ceiling Cassette,3,R-22a
31,FCU-G-31,CU-G-31,Waiting Lounge,DAIKIN,Ceiling Cassette,3,R-22a
32,FCU-G-32,CU-G-32,Waiting Lounge,DAIKIN,Ceiling Cassette,3,R-22a
33,FCU-G-33,CU-G-33,Waiting Lounge,DAIKIN,Ceiling Cassette,3,R-22a
FIRST FLOOR,,,,,,,
34,FCU-1-01,​CU-1-01,ICT Room,DAIKIN,Ceiling Cassette,2,R-22a
35,FCU-1-02,CU-1-02,HST Room,DAIKIN,Ceiling Cassette,2,R-22a
36,FCU-1-03,CU-1-03,Walkway,DAIKIN,Ceiling Cassette,2,R-22a
37,FCU-1-04,CU-1-04,Lab Room,DAIKIN,Ceiling Cassette,3,R-22a
38,FCU-1-05,CU-1-05,Lab Room,DAIKIN,Ceiling Cassette,3,R-22a
39,FCU-1-06,CU-1-06,Lab Room,DAIKIN,Ceiling Cassette,3,R-22a
40,FCU-1-07,CU-1-07,Lab Room,DAIKIN,Ceiling Cassette,3,R-22a
41,FCU-1-08,CU-1-08,Art Room,DAIKIN,Ceiling Cassette,3,R-22a
42,FCU-1-09,CU-1-09,Art Room,DAIKIN,Ceiling Cassette,3,R-22a
